,ros_time,wheel_meas_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel,warthog_odom_lin_vel,warthog_odom_ang_vel
107,1603824044502134084,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
108,1603824044552124023,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
109,1603824044602176904,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
110,1603824044652205944,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
111,1603824044702188968,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
112,1603824044752222061,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
113,1603824044802206039,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
114,1603824044852119922,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
115,1603824044902139902,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
116,1603824044952115058,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
117,1603824045002170085,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
118,1603824045052155971,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
119,1603824045102154016,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
120,1603824045152137994,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
121,1603824045202228069,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
122,1603824045252223014,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
123,1603824045302200078,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
124,1603824045352145910,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
125,1603824045402158975,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
126,1603824045452195882,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
127,1603824045502192020,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
128,1603824045552182912,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
129,1603824045602188110,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
130,1603824045652152061,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
131,1603824045702235937,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
132,1603824045752170085,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
133,1603824045802170991,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
134,1603824045852164030,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
135,1603824045902165889,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
136,1603824045952155113,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
137,1603824046002233028,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
138,1603824046052160978,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
139,1603824046102220058,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
140,1603824046152215003,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
141,1603824046202177047,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
142,1603824046252160072,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
143,1603824046302184104,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
144,1603824046352166891,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
145,1603824046402192115,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
146,1603824046452202081,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
147,1603824046502193927,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
148,1603824046552190065,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
149,1603824046602191925,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
150,1603824046652137041,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
151,1603824046702138900,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
152,1603824046752155065,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
153,1603824046802221059,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
154,1603824046852165937,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
155,1603824046902200937,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
156,1603824046952156066,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
157,1603824047002183914,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
158,1603824047052130937,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
159,1603824047102225065,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
160,1603824047152188062,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
161,1603824047202151060,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
162,1603824047252201080,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
163,1603824047302165985,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
164,1603824047352241039,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
165,1603824047402189016,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
166,1603824047452222108,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
167,1603824047502194881,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
168,1603824047552172899,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
169,1603824047602184057,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
