,ros_time,wheel_meas_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel,left_js_vel,right_js_vel,icp_odom_x,icp_odom_y,icp_odom_z,icp_odom_w
8610,1602248696105177852,303,3.029333333333334,1.4442599560253078,-1.3626666666666674,0.3839724354387525,1.4442599560253078,0.5934119456780721,0.30855509638786316,-2.0422892570495605,-0.05087339316813767,0.9985475124350113
8611,1602248696117368667,303,3.029333333333334,1.4442599560253078,-1.3626666666666674,0.3839724354387525,1.4442599560253078,0.5934119456780721,0.30855509638786316,-2.0422892570495605,-0.05087339316813767,0.9985475124350113
8612,1602248696127406144,303,3.029333333333334,1.4442599560253078,-1.3626666666666674,0.3839724354387525,1.4442599560253078,0.5934119456780721,0.30855509638786316,-2.0422892570495605,-0.05087339316813767,0.9985475124350113
8613,1602248696137468148,303,3.065333333333331,1.4442599560253078,-1.3986666666666645,0.3839724354387525,1.4442599560253078,0.5934119456780721,0.30855509638786316,-2.0422892570495605,-0.05087339316813767,0.9985475124350113
8614,1602248696147530750,303,3.065333333333331,1.4442599560253078,-1.3986666666666645,0.3839724354387525,1.4442599560253078,0.5934119456780721,0.30855509638786316,-2.0422892570495605,-0.05087339316813767,0.9985475124350113
8615,1602248696157591657,303,3.065333333333331,1.4442599560253078,-1.3986666666666645,0.3839724354387525,1.4442599560253078,0.5934119456780721,0.30855509638786316,-2.0422892570495605,-0.05087339316813767,0.9985475124350113
8616,1602248696164274340,303,3.065333333333331,1.4442599560253078,-1.3986666666666645,0.3839724354387525,1.4442599560253078,0.5934119456780721,0.30855509638786316,-2.0422892570495605,-0.05087339316813767,0.9985475124350113
8617,1602248696174322816,303,3.065333333333331,1.4442599560253078,-1.3986666666666645,0.3839724354387525,1.4442599560253078,0.5934119456780721,0.33141398429870605,-2.0493345260620117,-0.05429600701242993,0.9983635715342987
8618,1602248696184379788,304,3.065333333333331,1.3831734322055063,-1.3986666666666645,0.5934119456780721,1.4442599560253078,0.5934119456780721,0.33141398429870605,-2.0493345260620117,-0.05429600701242993,0.9983635715342987
8619,1602248696194438990,304,3.1013333333333346,1.3831734322055063,-1.4346666666666679,0.5934119456780721,1.3831734322055063,0.5934119456780721,0.33141398429870605,-2.0493345260620117,-0.05429600701242993,0.9983635715342987
8620,1602248696204505368,304,3.1013333333333346,1.3831734322055063,-1.4346666666666679,0.5934119456780721,1.3831734322055063,0.5934119456780721,0.33141398429870605,-2.0493345260620117,-0.05429600701242993,0.9983635715342987
8621,1602248696214570878,304,3.1013333333333346,1.3831734322055063,-1.4346666666666679,0.5934119456780721,1.3831734322055063,0.5934119456780721,0.33141398429870605,-2.0493345260620117,-0.05429600701242993,0.9983635715342987
8622,1602248696225256067,304,3.1013333333333346,1.3831734322055063,-1.4346666666666679,0.5934119456780721,1.3831734322055063,0.5934119456780721,0.33141398429870605,-2.0493345260620117,-0.05429600701242993,0.9983635715342987
8623,1602248696235318145,304,3.1013333333333346,1.3831734322055063,-1.4346666666666679,0.5934119456780721,1.3831734322055063,0.5934119456780721,0.33141398429870605,-2.0493345260620117,-0.05429600701242993,0.9983635715342987
8624,1602248696245354124,304,3.1373333333333324,1.3831734322055063,-1.4706666666666657,0.5934119456780721,1.3831734322055063,0.5934119456780721,0.33141398429870605,-2.0493345260620117,-0.05429600701242993,0.9983635715342987
8625,1602248696255420205,304,3.1373333333333324,1.3831734322055063,-1.4706666666666657,0.5934119456780721,1.3831734322055063,0.5934119456780721,0.33141398429870605,-2.0493345260620117,-0.05429600701242993,0.9983635715342987
8626,1602248696265483375,304,3.1373333333333324,1.3831734322055063,-1.4706666666666657,0.5934119456780721,1.3831734322055063,0.5934119456780721,0.33141398429870605,-2.0493345260620117,-0.05429600701242993,0.9983635715342987
