,ros_time,icp_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel,icp_pos_x,icp_pos_y,icp_quat_x,icp_quat_y,icp_quat_z,icp_quat_w
101,1602248614961982227,39,0.0,0.0,0.0,0.0,-7.900595664978027e-05,-0.0031701326370239258,0.02130991460298624,-0.011385801708174072,0.3850368474166387,0.9225849069117843
102,1602248615012297728,39,0.0,0.0,0.0,0.0,-7.900595664978027e-05,-0.0031701326370239258,0.02130991460298624,-0.011385801708174072,0.3850368474166387,0.9225849069117843
103,1602248615063948271,40,0.0,0.0,0.0,0.0,-0.000980466604232788,-0.0031351447105407715,0.021317218723753393,-0.011394189023721885,0.3849709206391713,0.922612186448856
104,1602248615109229556,40,0.0,0.0,0.0,0.0,-0.000980466604232788,-0.0031351447105407715,0.021317218723753393,-0.011394189023721885,0.3849709206391713,0.922612186448856
105,1602248615159499992,41,0.0,0.0,0.0,0.0,-0.0016289055347442627,-0.004278600215911865,0.021336784607025094,-0.011401496460207381,0.3849509858024186,0.9226199389232191
106,1602248615209787403,41,0.0,0.0,0.0,0.0,-0.0016289055347442627,-0.004278600215911865,0.021336784607025094,-0.011401496460207381,0.3849509858024186,0.9226199389232191
107,1602248615263987721,41,0.0,0.0,0.0,0.0,-0.0016289055347442627,-0.004278600215911865,0.021336784607025094,-0.011401496460207381,0.3849509858024186,0.9226199389232191
108,1602248615309241104,42,0.0,0.0,0.0,0.0,-0.0010438263416290283,-0.0033350586891174316,0.02144146264042117,-0.011451550352172733,0.38495277938320954,0.922616143449118
109,1602248615360435790,43,0.0,0.0,0.0,0.0,-0.0006492733955383301,-0.0022397637367248535,0.021413913170977635,-0.011444264684005834,0.3849363402276329,0.9226236859291433
110,1602248615410786811,43,0.0,0.0,0.0,0.0,-0.0006492733955383301,-0.0022397637367248535,0.021413913170977635,-0.011444264684005834,0.3849363402276329,0.9226236859291433
111,1602248615461099977,44,0.0,0.0,0.0,0.0,0.00013884902000427246,-0.0023966729640960693,0.021268774823100113,-0.011437403438380234,0.3849934885092671,0.9226033114008353
112,1602248615511405544,44,0.0,0.0,0.0,0.0,0.00013884902000427246,-0.0023966729640960693,0.021268774823100113,-0.011437403438380234,0.3849934885092671,0.9226033114008353
113,1602248615561704399,45,0.0,0.0,0.0,0.0,-0.0006346702575683594,-0.003461122512817383,0.021319696539385816,-0.011445712859901707,0.3849429455572011,0.9226231448753487
114,1602248615612035120,45,0.0,0.0,0.0,0.0,-0.0006346702575683594,-0.003461122512817383,0.021319696539385816,-0.011445712859901707,0.3849429455572011,0.9226231448753487
115,1602248615659476554,46,0.0,0.0,0.0,0.0,-0.0003191232681274414,-0.0036214590072631836,0.02131398431398227,-0.011464853135035468,0.38490613458403267,0.92263836693936
116,1602248615711824777,46,0.0,0.0,0.0,0.0,-0.0003191232681274414,-0.0036214590072631836,0.02131398431398227,-0.011464853135035468,0.38490613458403267,0.92263836693936
117,1602248615762135151,47,0.0,0.0,0.0,0.0,-0.000638425350189209,-0.002860039472579956,0.021340880335584553,-0.011416189445059946,0.3848487845889131,0.9226622937397769
118,1602248615812478359,47,0.0,0.0,0.0,0.0,-0.000638425350189209,-0.002860039472579956,0.021340880335584553,-0.011416189445059946,0.3848487845889131,0.9226622937397769
119,1602248615862802473,48,0.0,0.0,0.0,0.0,-5.841255187988281e-06,-0.002653777599334717,0.021235733641218727,-0.011403262944901975,0.3849358455990468,0.9226285877005564
120,1602248615913104815,48,0.0,0.0,0.0,0.0,-5.841255187988281e-06,-0.002653777599334717,0.021235733641218727,-0.011403262944901975,0.3849358455990468,0.9226285877005564
121,1602248615963441791,49,0.0,0.0,0.0,0.0,-0.0007688403129577637,-0.0020138025283813477,0.021426630530747223,-0.011418712666086472,0.3848797785507784,0.9226473062519451
122,1602248616013856907,49,0.0,0.0,0.0,0.0,-0.0007688403129577637,-0.0020138025283813477,0.021426630530747223,-0.011418712666086472,0.3848797785507784,0.9226473062519451
123,1602248616059641557,50,0.0,0.0,0.0,0.0,-0.00019046664237976074,-0.0026761889457702637,0.021286656700768267,-0.011375503330216042,0.3850363999877975,0.9225857467911532
124,1602248616109901944,50,0.0,0.0,0.0,0.0,-0.00019046664237976074,-0.0026761889457702637,0.021286656700768267,-0.011375503330216042,0.3850363999877975,0.9225857467911532
125,1602248616160244780,51,0.0,0.0,0.0,0.0,-0.00012770295143127441,-0.001760721206665039,0.021400851410790005,-0.011466042063059267,0.3849091200857945,0.9226351206634881
126,1602248616210546976,51,0.0,0.0,0.0,0.0,-0.00012770295143127441,-0.001760721206665039,0.021400851410790005,-0.011466042063059267,0.3849091200857945,0.9226351206634881
127,1602248616261002858,52,0.0,0.0,0.0,0.0,-0.0007665157318115234,-0.0026336312294006348,0.021356064092571295,-0.011336914757452222,0.3849590125178173,0.9226169590735931
128,1602248616311453145,52,0.0,0.0,0.0,0.0,-0.0007665157318115234,-0.0026336312294006348,0.021356064092571295,-0.011336914757452222,0.3849590125178173,0.9226169590735931
129,1602248616361873956,53,0.0,0.0,0.0,0.0,-0.0007967650890350342,-0.002500176429748535,0.0214259318684257,-0.011496737837057675,0.3849164452141445,0.9226310345388156
130,1602248616412195956,53,0.0,0.0,0.0,0.0,-0.0007967650890350342,-0.002500176429748535,0.0214259318684257,-0.011496737837057675,0.3849164452141445,0.9226310345388156
131,1602248616463667926,54,0.0,0.0,0.0,0.0,-0.0008920133113861084,-0.001971721649169922,0.021311215505598564,-0.011398749931354375,0.3848640503761958,0.9226567865123045
132,1602248616509067909,54,0.0,0.0,0.0,0.0,-0.0008920133113861084,-0.001971721649169922,0.021311215505598564,-0.011398749931354375,0.3848640503761958,0.9226567865123045
133,1602248616560642975,55,0.0,0.0,0.0,0.0,-0.0012652575969696045,-0.002148151397705078,0.02126222817048535,-0.011372918231724751,0.38486880754904396,0.922656261628205
134,1602248616610974199,55,0.0,0.0,0.0,0.0,-0.0012652575969696045,-0.002148151397705078,0.02126222817048535,-0.011372918231724751,0.38486880754904396,0.922656261628205
135,1602248616661301375,56,0.0,0.0,0.0,0.0,-0.00018468499183654785,-0.0016882121562957764,0.021412188871501637,-0.011402733437827169,0.38491935015886003,0.9226313494779221
136,1602248616711676384,56,0.0,0.0,0.0,0.0,-0.00018468499183654785,-0.0016882121562957764,0.021412188871501637,-0.011402733437827169,0.38491935015886003,0.9226313494779221
137,1602248616762923106,57,0.0,0.0,0.0,0.0,-0.0003566145896911621,-0.002927839756011963,0.021379399603468553,-0.011449668871003366,0.384997037017555,0.9225991040006513
138,1602248616813231942,57,0.0,0.0,0.0,0.0,-0.0003566145896911621,-0.002927839756011963,0.021379399603468553,-0.011449668871003366,0.384997037017555,0.9225991040006513
139,1602248616863795919,58,0.0,0.0,0.0,0.0,-0.0006009340286254883,-0.0017893314361572266,0.021278919112364195,-0.011412900794048544,0.384892600881559,0.9226454893255058
140,1602248616909082226,58,0.0,0.0,0.0,0.0,-0.0006009340286254883,-0.0017893314361572266,0.021278919112364195,-0.011412900794048544,0.384892600881559,0.9226454893255058
141,1602248616959429504,59,0.0,0.0,0.0,0.0,-0.00040715932846069336,-0.0019123256206512451,0.021265131583320763,-0.011432580839093678,0.3849799273699266,0.9226091419697555
142,1602248617009785188,59,0.0,0.0,0.0,0.0,-0.00040715932846069336,-0.0019123256206512451,0.021265131583320763,-0.011432580839093678,0.3849799273699266,0.9226091419697555
143,1602248617060258278,60,0.0,0.0,0.0,0.0,-0.001493006944656372,-0.003117769956588745,0.021391758610215004,-0.01140726806252826,0.3849376401030861,0.9226241704546604
144,1602248617110591565,60,0.0,0.0,0.0,0.0,-0.001493006944656372,-0.003117769956588745,0.021391758610215004,-0.01140726806252826,0.3849376401030861,0.9226241704546604
145,1602248617160930166,61,0.0,0.0,0.0,0.0,-0.0015410780906677246,-0.003769010305404663,0.021289403784829034,-0.011434596320147336,0.3849632684530111,0.9226155458624113
146,1602248617211193177,61,0.0,0.0,0.0,0.0,-0.0015410780906677246,-0.003769010305404663,0.021289403784829034,-0.011434596320147336,0.3849632684530111,0.9226155458624113
147,1602248617261531664,62,0.0,0.0,0.0,0.0,0.0005923211574554443,-0.0022346079349517822,0.021420406066419633,-0.011416936256208397,0.38494298707492025,0.9226211098642052
148,1602248617311868713,62,0.0,0.0,0.0,0.0,0.0005923211574554443,-0.0022346079349517822,0.021420406066419633,-0.011416936256208397,0.38494298707492025,0.9226211098642052
149,1602248617362279935,63,0.0,0.0,0.0,0.0,-0.0005925297737121582,-0.002856820821762085,0.021290664887242797,-0.011385628044145986,0.38498331528434326,0.9226076802931962
150,1602248617412670404,63,0.0,0.0,0.0,0.0,-0.0005925297737121582,-0.002856820821762085,0.021290664887242797,-0.011385628044145986,0.38498331528434326,0.9226076802931962
151,1602248617459452558,64,0.0,0.0,0.0,0.0,-0.0006258785724639893,-0.0027379095554351807,0.021306069765049035,-0.01144057704832635,0.3849537481654062,0.9226189698674863
152,1602248617509832964,64,0.0,0.0,0.0,0.0,-0.0006258785724639893,-0.0027379095554351807,0.021306069765049035,-0.01144057704832635,0.3849537481654062,0.9226189698674863
153,1602248617560158535,65,0.0,0.0,0.0,0.0,-5.0395727157592773e-05,-0.0026324987411499023,0.021373089849373885,-0.011455790325365665,0.3849640788748987,0.922612945548181
154,1602248617610488157,65,0.0,0.0,0.0,0.0,-5.0395727157592773e-05,-0.0026324987411499023,0.021373089849373885,-0.011455790325365665,0.3849640788748987,0.922612945548181
155,1602248617663967013,66,0.0,0.0,0.0,0.0,0.0005236268043518066,-0.0019481480121612549,0.021305921079400075,-0.011527902591054065,0.38490677298098463,0.9226374948066657
156,1602248617709229557,66,0.0,0.0,0.0,0.0,0.0005236268043518066,-0.0019481480121612549,0.021305921079400075,-0.011527902591054065,0.38490677298098463,0.9226374948066657
157,1602248617759911595,67,0.0,0.0,0.0,0.0,-0.0011588335037231445,-0.0030533969402313232,0.021301635012577043,-0.0114034300682765,0.38496987245088843,0.9226128405663967
158,1602248617810249612,67,0.0,0.0,0.0,0.0,-0.0011588335037231445,-0.0030533969402313232,0.021301635012577043,-0.0114034300682765,0.38496987245088843,0.9226128405663967
159,1602248617859136263,68,0.0,0.0,0.0,0.0,-0.0009371638298034668,-0.002561897039413452,0.021351050823811224,-0.011311597114252331,0.38496693425023726,0.922614076120486
160,1602248617909464786,68,0.0,0.0,0.0,0.0,-0.0009371638298034668,-0.002561897039413452,0.021351050823811224,-0.011311597114252331,0.38496693425023726,0.922614076120486
161,1602248617959944907,69,0.0,0.0,0.0,0.0,9.268522262573242e-05,-0.002447664737701416,0.021275789563265896,-0.011463149318092204,0.38501924356474526,0.9225921023919778
162,1602248618010268822,69,0.0,0.0,0.0,0.0,9.268522262573242e-05,-0.002447664737701416,0.021275789563265896,-0.011463149318092204,0.38501924356474526,0.9225921023919778
163,1602248618060610907,70,0.0,0.0,0.0,0.0,-0.0008855760097503662,-0.0032198727130889893,0.021383218944717494,-0.011417941250837385,0.3849299639822326,0.9226274329198502
164,1602248618110928891,70,-0.03600000000000001,0.0,0.03600000000000001,0.0,-0.0008855760097503662,-0.0032198727130889893,0.021383218944717494,-0.011417941250837385,0.3849299639822326,0.9226274329198502
165,1602248618162341385,71,-0.07200000000000002,0.0,0.07200000000000002,0.0,0.0005369484424591064,-0.0011137127876281738,0.021314281350757816,-0.011349637805251228,0.3848756617636162,0.9226524905290491
166,1602248618212669854,71,-0.10800000000000003,0.0,0.10800000000000003,0.0,0.0005369484424591064,-0.0011137127876281738,0.021314281350757816,-0.011349637805251228,0.3848756617636162,0.9226524905290491
167,1602248618259977464,72,-0.14400000000000004,-0.1265363707695889,0.14400000000000004,0.0,0.00044348835945129395,-0.0014437437057495117,0.021291020660384276,-0.011471565224746811,0.38489439514511886,0.9226437046964978
168,1602248618310285197,72,-0.18000000000000005,-0.1265363707695889,0.18000000000000005,0.0,0.00044348835945129395,-0.0014437437057495117,0.021291020660384276,-0.011471565224746811,0.38489439514511886,0.9226437046964978
169,1602248618361325907,73,-0.21600000000000005,-0.1265363707695889,0.21600000000000005,0.2399827721492203,-0.0010538995265960693,-0.00899013876914978,0.021430455493454337,-0.011147737489263924,0.3852469792903087,0.9224972968333267
170,1602248618411652863,73,-0.25200000000000006,-0.1265363707695889,0.25200000000000006,0.2399827721492203,-0.0010538995265960693,-0.00899013876914978,0.021430455493454337,-0.011147737489263924,0.3852469792903087,0.9224972968333267
